CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
S0655,Tufts Health Plan Medicare Preferred,TUFTS INSURANCE COMPANY,"Tufts Associated HMO, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,No data available,No data available,5.2%,1.91%,100%,No data available,18.97%,85%,No data available,No data available,No data available,No data available,42%,18%,No data available,2.11,No data available,No data available,No data available,No data available,No data available
S0764,Magellan Rx Medicare EGWP,"MAGELLAN LIFE INSURANCE COMPANY, INC.","Magellan Health, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S0962,Colorado Access Vista Plan,COLORADO ACCESS,Colorado Access,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S1030,BlueRx (PDP),BCBS OF ALABAMA & UTIC INSURANCE COMPANY,BlueCross BlueShield of Alabama,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,90%,80.00%,1.01%,0:06,7.2%,0.30%,96%,99,24.42%,Not enough data available,0:01,99,0.0%,0.0%,28%,15%,97%,0.07,No data available,No data available,46%,10%,6%
S1140,HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0%,100.00%,2.36%,0:37,6.7%,0.34%,100%,100,18.75%,Not enough data available,0:11,98,No data available,6.7%,37%,26%,90%,0.04,No data available,No data available,60%,11%,9%
S1822,HealthPartners National PDP,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,7.7%,0.68%,100%,No data available,27.27%,88%,No data available,No data available,No data available,No data available,26%,12%,No data available,0.38,No data available,No data available,No data available,No data available,No data available
S2468,Blue Shield of California,CALIFORNIA PHYSICIANS SERVICE,California Physicians' Service,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,93%,95.83%,0.99%,0:19,6.5%,1.15%,96%,99,16.14%,77%,0:21,98,33.3%,60.0%,36%,14%,71%,1.07,No data available,No data available,46%,13%,8%
S2505,WellCare,"WINDSOR HEALTH PLAN, INC.","WellCare Health Plans, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,80.00%,2.78%,0:11,8.5%,0.65%,100%,98,23.93%,76%,0:07,98,46.7%,53.3%,33%,31%,97%,0.21,No data available,No data available,24%,14%,7%
S2874,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,0.45%,0:30,5.1%,0.29%,100%,100,No data available,Not enough data available,0:04,98,No data available,No data available,20%,9%,96%,CMS Found Issues with Plan's Data,No data available,No data available,31%,16%,14%
S2893,Blue MedicareRx,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,99%,90.91%,3.13%,0:03,5.5%,0.37%,100%,98,16.60%,76%,0:10,98,0.0%,0.0%,51%,23%,99%,0.66,No data available,No data available,41%,12%,8%
S3389,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",UPMC Health System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,6.5%,0.00%,100%,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,36%,6%,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
S3440,Alliance Medicare Rx,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,0.00%,0:54,6.8%,1.46%,No data available,98,16.67%,Not enough data available,0:05,97,No data available,0.0%,37%,25%,No data available,0.07,No data available,No data available,51%,11%,6%
