2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H9070,Humana,Compbenefits Insurance Company,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:19,Plan too new to be measured,Plan too new to be measured,1.60%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.60%,00:19,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9082,"Molina Healthcare of New Mexico, Inc.","Molina Healthcare Of New Mexico, Inc.","Molina Healthcare, Inc.,",62%,43%,Not enough data available,56%,29%,90,00:06,58%,94%,1.57%,72%,85%,52%,10%,44,100%,53%,55%,29%,10%,77%,11%,32%,No data available,No data available,1.57%,00:06,3%,0.15%,100%,102,00:21,92,54%,54%,7%,8%,6%,No data available,1.27,93,6.52,24%,26%,8%,6%,13%,100
H9095,Longevity Health Plan,"Longevity Health Plan Of Oklahoma, Inc","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9096,"Dean Advantage, Prevea360 Medicare Advantage","Dean Health Plan, Inc.",SSM Healthcare Corporation,Not enough data available,72%,Not enough data available,83%,56%,93,00:43,80%,96%,0.78%,79%,82%,27%,4%,35,93%,84%,62%,73%,55%,93%,50%,67%,100%,100.00%,0.78%,00:43,2%,1.34%,100%,99,00:05,-4,35%,19%,9%,11%,10%,No data available,0.00,100,13.56,18%,28%,29%,6%,10%,100
H9104,SCAN Health Plan,Scan Health Plan,SCAN Health Plan,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:24,No data available,97%,2.34%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,2.34%,00:24,No data available,No data available,100%,106,00:04,91,No data available,No data available,5%,No data available,No data available,No data available,No data available,74,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,60
H9153,West Virginia Senior Advantage,"West Virginia Senior Advantage, Inc.","Stonerise Senior Advantage Holdings, LLC",Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,00:16,No data available,100%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,00:16,11%,2.91%,100%,No data available,00:05,41,No data available,No data available,9%,9%,No data available,9%,0.00,94,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9190,Gateway Health Medicare Assured,"Gateway Health Plan Of Ohio, Inc.","Gateway Health Plan, LP",23%,54%,77%,55%,30%,92,00:53,60%,90%,0.39%,71%,78%,45%,7%,65,99%,60%,46%,46%,11%,72%,4%,33%,No data available,100.00%,0.39%,00:53,3%,0.28%,96%,99,00:50,96,64%,63%,9%,9%,10%,No data available,0.00,83,4.53,22%,35%,14%,Not Available,19%,100
H9207,Health Partners Medicare,"Health Partners Plans, Inc.","Health Partners Plans, Inc.",49%,49%,89%,60%,32%,Not enough data available,00:45,56%,96%,0.78%,79%,90%,51%,6%,66,100%,72%,47%,56%,25%,82%,30%,48%,100%,No data available,0.78%,00:45,2%,0.28%,100%,102,00:03,57,55%,58%,14%,9%,9%,9%,0.60,95,15.60,23%,28%,40%,Not Available,13%,80
H9276,Allwell,"Sunshine Health Community Solutions, Inc.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,76%,Not enough data available,Not enough data available,00:10,45%,87%,0.78%,65%,50%,28%,1%,No data available,Not enough data available,71%,Not enough data available,42%,1%,71%,0%,29%,No data available,100.00%,0.78%,00:10,3%,0.00%,100%,100,00:09,91,48%,38%,5%,6%,7%,No data available,0.00,95,11.04,27%,36%,15%,Not Available,16%,100
H9287,Allwell,"Health Net Community Solutions Of Arizona, Inc.",Centene Corporation,Not enough data available,65%,Not enough data available,85%,30%,88,00:06,75%,95%,3.10%,74%,81%,29%,4%,35,Not enough data available,76%,54%,49%,6%,85%,0%,35%,67%,100.00%,3.10%,00:06,2%,0.00%,100%,100,00:09,93,44%,24%,6%,5%,5%,No data available,4.85,93,3.87,31%,25%,16%,Not Available,22%,100
H9302,Premera Blue Cross Medicare Advantage,Premera Blue Cross,Premera,8%,60%,92%,82%,30%,91,02:07,81%,94%,0.78%,74%,74%,34%,4%,30,99%,32%,60%,67%,27%,86%,0%,45%,0%,100.00%,0.78%,02:07,2%,0.22%,100%,99,00:21,87,39%,25%,7%,13%,12%,25%,0.00,86,2.14,11%,33%,17%,10%,8%,100
H9364,WellCare,"Wellcare Of Maine, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:46,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.78%,00:46,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,01:26,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9403,Clear Spring Health,"Eon Health, Inc. (sc)",Delaware Life Insurance Company,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:17,No data available,84%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,42%,39%,29%,0%,71%,0%,25%,No data available,No data available,0.78%,00:17,8%,0.00%,100%,107,00:09,87,No data available,No data available,5%,No data available,No data available,No data available,0.00,88,Plan too small to be measured,42%,33%,27%,Not Available,22%,80
H9408,Vibra Health Plan,"Vibra Health Plan, Inc.",Capital BlueCross,Not enough data available,67%,Not enough data available,72%,Not enough data available,93,00:16,74%,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,35,Not enough data available,4%,52%,33%,5%,79%,2%,30%,100%,No data available,0.00%,00:16,1%,0.00%,100%,100,00:01,91,53%,28%,6%,6%,2%,No data available,0.00,95,8.04,11%,12%,32%,10%,12%,100
H9412,Geisinger Gold,"Geisinger Quality Options, Inc.",Geisinger Health,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,CMS Found Issues with Plan's Data,Not enough data available,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9428,WellCare,"Wellcare Health Insurance Of Tennessee, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9431,Aetna Medicare,First Health Life & Health Insurance Company,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:29,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,00:29,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:26,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9455,Steward Health Choice Utah,"Health Choice Utah, Inc.","Steward Health Care System, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:13,Plan too new to be measured,Plan too new to be measured,1.55%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.55%,00:13,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:05,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9460,Cigna,"Cigna Healthcare Of St Louis, Inc.",CIGNA,Not enough data available,53%,Not enough data available,68%,Not enough data available,Not enough data available,00:11,75%,93%,0.71%,Not enough data available,Not enough data available,24%,0%,38,100%,68%,38%,56%,15%,79%,8%,39%,100%,No data available,0.71%,00:11,3%,0.00%,100%,94,00:05,90,50%,36%,7%,12%,9%,No data available,0.00,82,8.11,35%,42%,17%,12%,15%,100
H9487,Michigan Complete Health,"Michigan Complete Health, Inc.",Centene Corporation,42%,58%,Not enough data available,45%,23%,Not enough data available,00:24,47%,84%,3.13%,66%,88%,30%,2%,46,60%,57%,52%,34%,1%,65%,0%,25%,100%,No data available,3.13%,00:24,3%,0.00%,100%,101,00:09,93,66%,54%,7%,9%,2%,13%,0.00,95,1.24,Not Available,Not Available,Not Available,Not Available,Not Available,60
H9516,Bright Health,Bright Health Insurance Company Of New York,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:29,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.78%,00:29,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:21,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
