2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Hospitalization for Potentially Preventable Complications - DMC16,Statin Therapy for Patients with Cardiovascular Disease - DMC17,Asthma Medication Ratio - DMC18,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to Fill prescriptions - DMD13,Reminders to Take Medications - DMD14,Statin Use in Persons with Diabetes (SUPD) - DMD15,High Risk Medication - DMD16,Formulary Administration Analysis - DMD17,Antipsychotic Use in Persons with Dementia - DMD18,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
S5450,SecurityCare of Tennessee,"Securitycare Of Tennessee, Inc.",BlueCross BlueShield of Tennessee,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
S5540,Blue Cross and Blue Shield of North Carolina,Blue Cross And Blue Shield Of North Carolina,Blue Cross and Blue Shield of North Carolina,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,96%,100.00%,0.00%,0:11,5%,0.37%,100%,97,0:05,98,No data available,No data available,56%,29%,77%,8%,0.0%,8%,99%,1.88,No data available,No data available,53%,16%,6%
S5552,Humana Insurance Company of New York,Humana Insurance Company Of New York,Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,1.92%,1:07,5%,0.54%,100%,100,0:32,99,0.0%,0.0%,53%,24%,75%,6%,0.0%,10%,98%,0.26,No data available,No data available,27%,13%,7%
S5584,Blue Cross Blue Shield of Michigan,Bcbs Of Michigan Mutual Insurance Company,Blue Cross Blue Shield of Michigan Mutual Insuranc,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,88%,100.00%,0.00%,1:09,5%,0.57%,100%,101,0:09,98,0.0%,13.3%,46%,25%,76%,5%,0.0%,8%,94%,0.12,No data available,No data available,60%,11%,7%
S5588,Paramount Prescription Drug Plan,Paramount Insurance Company,Promedica Health System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,4%,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
S5593,HM Health Insurance Company,Hm Health Insurance Company,Highmark Health,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,94%,92.31%,0.00%,0:23,6%,0.79%,100%,97,0:09,98,0.0%,73.3%,47%,29%,73%,9%,0.0%,9%,98%,0.13,No data available,No data available,53%,9%,4%
S5596,Blue MedicareRx,"Anthem Insurance Companies, Inc.",Anthem Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,91%,76.00%,2.05%,1:07,6%,0.36%,100%,100,0:21,98,No data available,No data available,46%,26%,76%,6%,0.0%,10%,95%,0.15,No data available,No data available,62%,10%,4%
S5601,SilverScript,Silverscript Insurance Company,CVS Health Corporation,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,99%,99.01%,0.00%,0:26,6%,0.54%,100%,99,0:34,99,13.3%,6.7%,51%,30%,75%,6%,3.3%,10%,98%,0.24,No data available,No data available,34%,16%,9%
S5609,Asuris Northwest Health,Asuris Northwest Health,"Cambia Health Solutions, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,85%,100.00%,1.28%,0:47,6%,0.81%,100%,98,0:32,99,No data available,No data available,47%,33%,80%,8%,0.0%,17%,98%,0.12,No data available,No data available,48%,15%,6%
S5617,Cigna-HealthSpring Rx,Cigna Health And Life Insurance Company,CIGNA,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,95%,98.54%,1.03%,0:52,7%,0.85%,100%,99,0:16,98,13.3%,0.0%,45%,26%,74%,7%,33.3%,10%,No data available,3.80,No data available,No data available,39%,15%,9%
S5660,Express Scripts Medicare,Medco Containment Life And Medco Containment Ny,Express Scripts Holding Company,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%,97.29%,0.51%,0:18,6%,0.41%,100%,99,0:09,99,No data available,No data available,52%,27%,76%,11%,3.3%,10%,99%,0.09,No data available,No data available,44%,18%,8%
