2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H9725,Cigna,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",CIGNA,37%,49%,Not enough data available,83%,42%,94,00:20,79%,97%,0.00%,78%,71%,28%,3%,43,72%,52%,78%,16%,88%,12%,49%,9%,94,100%,No data available,0.00%,00:20,3%,100%,100,00:10,86,60%,43%,11%,9%,No data available,0.00%,75,23.12%,8.73%,0.40%,8.30%,6.63%,5.91,22%,33%,17%,Not Available,14%,100
H9730,WellCare,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC",Centene Corporation,33%,45%,86%,65%,25%,92,00:19,61%,94%,2.28%,71%,80%,31%,4%,55,67%,49%,64%,7%,82%,2%,39%,9%,96,100%,100.00%,2.28%,00:19,5%,100%,100,00:30,96,56%,48%,12%,10%,17%,0.03%,95,17.29%,4.06%,0.69%,13.76%,8.47%,5.23,23%,22%,12%,10%,14%,100
H9808,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,Not enough data available,55%,91%,87%,25%,92,00:25,82%,97%,0.00%,61%,56%,25%,2%,27,73%,57%,46%,44%,79%,12%,45%,8%,95,100%,100.00%,0.00%,00:25,3%,100%,100,00:21,82,53%,24%,11%,11%,No data available,0.00%,92,24.41%,8.29%,0.16%,5.79%,5.74%,1.08,15%,22%,18%,13%,11%,80
H9811,Allwell,"MAGNOLIA HEALTH PLAN, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,42%,Not enough data available,No data available,00:08,No data available,88%,2.36%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,55%,Not enough data available,49%,5%,74%,0%,32%,Not enough data available,No data available,No data available,No data available,2.36%,00:08,2%,100%,102,00:05,92,No data available,No data available,No data available,No data available,No data available,0.00%,95,8.93%,4.28%,0.00%,No data available,3.78%,Plan too small to be measured,30%,39%,15%,Not Available,16%,100
H9826,Community Health Choice,"COMMUNITY HEALTH CHOICE TEXAS, INC.",Harris County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:32,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,1.56%,00:32,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:03,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9834,Quartz Medicare Advantage,QUARTZ HEALTH PLAN MN CORPORATION,University of Wisconsin Hospitals and Clincs Autho,Not enough data available,Not enough data available,Not enough data available,87%,Not enough data available,94,00:34,82%,96%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,20,76%,68%,90%,99%,97%,84%,92%,6%,95,No data available,No data available,0.78%,00:34,1%,100%,101,00:05,90,30%,18%,15%,10%,No data available,0.00%,99,10.00%,3.48%,0.00%,4.35%,2.23%,1.99,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9861,Reliance Medicare Advantage,"RELIANCE HMO, INC.","RELIANCE HMO, INC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,01:31,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,3.91%,01:33,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:40,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9869,Partners Health Plan,"PARTNERS HEALTH PLAN, INC.","PHSI, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,00:05,38%,98%,0.79%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,71%,82%,59%,0%,91%,5%,39%,19%,No data available,No data available,No data available,0.79%,00:09,Plan not required to report measure,100%,Plan not required to report measure,00:10,Plan not required to report measure,45%,30%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.00,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9870,Passport Advantage,"UNIVERSITY HEALTH CARE, INC.","University Health Care, Inc.",36%,53%,Not enough data available,49%,34%,Not enough data available,00:19,55%,92%,1.25%,64%,80%,61%,11%,71,49%,46%,36%,2%,80%,1%,30%,11%,95,75%,100.00%,1.25%,00:19,5%,100%,100,00:20,93,59%,50%,13%,15%,No data available,0.11%,88,16.50%,2.96%,1.03%,13.40%,8.92%,16.67,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9877,Virginia Premier,"VIRGINIA PREMIER HEALTH PLAN, INC.",Virginia Cwlth University Hlth System Authority,56%,70%,Not enough data available,61%,Not enough data available,Not enough data available,00:42,64%,97%,0.00%,34%,42%,60%,12%,No data available,54%,49%,27%,6%,81%,3%,29%,8%,No data available,0%,100.00%,0.00%,00:42,3%,100%,100,00:33,75,56%,44%,13%,13%,12%,0.13%,89,16.92%,9.22%,1.83%,11.10%,8.03%,1.54,28%,35%,16%,17%,24%,100
H9878,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF OHIO, INC.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,0.79%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.79%,00:20,No data available,100%,64,00:21,94,No data available,No data available,No data available,No data available,No data available,No data available,78,No data available,No data available,No data available,No data available,0.00%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9909,American Health Advantage of MS,"AMERICAN HEALTH PLAN OF MS, INC.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,01:18,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.00%,01:18,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:24,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9917,Align Senior Care,"ALIGN SENIOR CARE FLORIDA, INC.","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9942,Longevity Health Plan,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:09,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,1.56%,00:09,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:03,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9952,Medica,MEDICA HEALTH PLANS,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,01:26,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,No data available,0.00%,01:26,4%,100%,101,00:10,88,No data available,No data available,No data available,No data available,No data available,0.00%,89,30.28%,15.59%,3.95%,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9955,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
